hotel,city,url,price,rating,stars,price_range,lowest_price,highest_price
Бич Ротана - Абу-Даби,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d302775-Reviews-Beach_Rotana-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,24845,4.5,5.0,14 591 руб - 21 430 руб,14591,21430
Hilton Abu Dhabi Yas Island,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d23039049-Reviews-Hilton_Abu_Dhabi_Yas_Island-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,34866,4.5,5.0,22 980 руб - 37 844 руб,22980,37844
Grand Hyatt Abu Dhabi Hotel & Residences Emirates Pearl,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d14109074-Reviews-Grand_Hyatt_Abu_Dhabi_Hotel_Residences_Emirates_Pearl-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,18260,4.5,5.0,15 594 руб - 22 342 руб,15594,22342
Премьер Инн Абу-Даби Капитал Центр,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d2309992-Reviews-Premier_Inn_Abu_Dhabi_Capital_Centre_Hotel-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,5005,4.5,3.0,4 468 руб - 7 842 руб,4468,7842
Парк Инн Рэдиссон Абу-Даби Яс Айленд,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d1590696-Reviews-Park_Inn_by_Radisson_Abu_Dhabi_Yas_Island-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,15848,4.5,3.0,11 034 руб - 16 050 руб,11034,16050
Сити Сизонс Аль Хамра Отель Абу-Даби,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d1187550-Reviews-City_Seasons_Al_Hamra_Hotel-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,10749,4.5,4.0,5 654 руб - 11 034 руб,5654,11034
Jannah Burj Al Sarab,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d8137756-Reviews-Jannah_Burj_Al_Sarab-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,8341,4.5,5.0,6 839 руб - 10 031 руб,6839,10031
Роял Роз Отель,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d4764221-Reviews-Royal_Rose_Hotel-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,10124,4.5,5.0,9 484 руб - 11 672 руб,9484,11672
Алофт Абу-Даби,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d1553492-Reviews-Aloft_Abu_Dhabi-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,6485,4.5,4.0,6 292 руб - 12 128 руб,6292,12128
Истерн Мангров Отель & Спа Анантара,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d2554790-Reviews-Anantara_Eastern_Mangroves_Abu_Dhabi_Hotel-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,15107,4.5,5.0,13 770 руб - 20 336 руб,13770,20336
Новотель Абу-Даби Аль Бустан,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d2151989-Reviews-Novotel_Abu_Dhabi_Al_Bustan-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,5558,4.5,4.0,5 471 руб - 12 402 руб,5471,12402
"Рэдиссон Блу Отель, Абу-Даби Яс Айленд",Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d1456199-Reviews-Radisson_Blu_Hotel_Abu_Dhabi_Yas_Island-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,21965,4.5,4.0,13 679 руб - 21 339 руб,13679,21339
Софитель Абу-Даби Корниш,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d2049006-Reviews-Sofitel_Abu_Dhabi_Corniche-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,13763,4.5,5.0,12 493 руб - 18 238 руб,12493,18238
Гран Милленниум Аль Вахда,Абу-Даби,https://www.tripadvisor.ru/Hotel_Review-g294013-d1875857-Reviews-Grand_Millennium_Al_Wahda-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,11569,4.5,5.0,8 207 руб - 12 493 руб,8207,12493
Дельфин Делюкс Резорт,Аланья,https://www.tripadvisor.ru/Hotel_Review-g950910-d646605-Reviews-Delphin_Deluxe_Resort-Okurcalar_Alanya_Turkish_Mediterranean_Coast.html,,5.0,5.0,15 411 руб - 43 589 руб,15411,43589
Ramira Joy Hotel,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d20329433-Reviews-Ramira_Joy_Hotel-Alanya_Turkish_Mediterranean_Coast.html,5001,5.0,3.0,3 009 руб - 4 195 руб,3009,4195
Oji Hotel,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d26583000-Reviews-Oji_Hotel-Alanya_Turkish_Mediterranean_Coast.html,5691,5.0,,3 921 руб - 6 292 руб,3921,6292
Aria Resort & Spa,Аланья,https://www.tripadvisor.ru/Hotel_Review-g951014-d21303583-Reviews-Aria_Resort_Spa-Konakli_Alanya_Turkish_Mediterranean_Coast.html,,5.0,5.0,13 496 руб - 24 074 руб,13496,24074
Пегасос Резорт,Аланья,https://www.tripadvisor.ru/Hotel_Review-g609052-d1129937-Reviews-Aqi_Pegasos_Resort_Hotel-Avsallar_Alanya_Turkish_Mediterranean_Coast.html,,5.0,5.0,11 855 руб - 26 172 руб,11855,26172
Serenity Queen Otel,Аланья,https://www.tripadvisor.ru/Hotel_Review-g951014-d26218286-Reviews-Serenity_Queen_Otel-Konakli_Alanya_Turkish_Mediterranean_Coast.html,,5.0,5.0,10 031 руб - 21 977 руб,10031,21977
Cleopatra City Hotel,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d20288782-Reviews-Cleopatra_City_Hotel-Alanya_Turkish_Mediterranean_Coast.html,,5.0,3.0,2 189 руб - 4 377 руб,2189,4377
Numa Port Hotel,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d25336654-Reviews-Numa_Port_Hotel-Alanya_Turkish_Mediterranean_Coast.html,7208,5.0,3.0,4 833 руб - 8 754 руб,4833,8754
Kleopatra Suit Hotel,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d6154261-Reviews-Kleopatra_Suit_Hotel-Alanya_Turkish_Mediterranean_Coast.html,,5.0,3.0,4 012 руб - 4 924 руб,4012,4924
Kirman Leodikya Resort,Аланья,https://www.tripadvisor.ru/Hotel_Review-g950910-d5050012-Reviews-Kirman_Leodikya_Resort-Okurcalar_Alanya_Turkish_Mediterranean_Coast.html,,5.0,5.0,13 040 руб - 33 649 руб,13040,33649
Отель Вилла Турка,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d2197457-Reviews-Hotel_Villa_Turka-Alanya_Turkish_Mediterranean_Coast.html,5443,5.0,3.0,4 924 руб - 6 839 руб,4924,6839
Quattro Beach Spa and Resort,Аланья,https://www.tripadvisor.ru/Hotel_Review-g951014-d6003151-Reviews-Quattro_Beach_Spa_and_Resort-Konakli_Alanya_Turkish_Mediterranean_Coast.html,,5.0,5.0,12 493 руб - 32 829 руб,12493,32829
Лемон Вилла Отель,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d4841572-Reviews-The_Lemon_Villa_Hotel-Alanya_Turkish_Mediterranean_Coast.html,5718,5.0,2.0,4 742 руб - 6 931 руб,4742,6931
Sirius Deluxe,Аланья,https://www.tripadvisor.ru/Hotel_Review-g1069655-d7728830-Reviews-Sirius_Deluxe-Turkler_Alanya_Turkish_Mediterranean_Coast.html,,5.0,5.0,10 852 руб - 28 908 руб,10852,28908
Aria Riva Hotel,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d23544580-Reviews-Aria_Riva_Hotel-Alanya_Turkish_Mediterranean_Coast.html,,5.0,,5 016 руб - 6 383 руб,5016,6383
Aria Riva Apart Hotel,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d23702747-Reviews-Aria_Riva_Apart_Hotel-Alanya_Turkish_Mediterranean_Coast.html,,5.0,,4 286 руб - 6 657 руб,4286,6657
Сентауэра Отель,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d2283371-Reviews-Harmony_Boutique_Hotel-Alanya_Turkish_Mediterranean_Coast.html,7403,5.0,4.0,3 921 руб - 7 295 руб,3921,7295
Lofts Alanya Lina,Аланья,https://www.tripadvisor.ru/Hotel_Review-g950910-d26583025-Reviews-Lofts_Alanya_Lina-Okurcalar_Alanya_Turkish_Mediterranean_Coast.html,3009,5.0,,2 006 руб - 4 377 руб,2006,4377
Loft's Alanya Luna,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d25164177-Reviews-Loft_s_Alanya_Luna-Alanya_Turkish_Mediterranean_Coast.html,2516,5.0,,1 550 руб - 2 462 руб,1550,2462
Мусти Апарт Отель,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d3161348-Reviews-Musti_Apart_Hotel-Alanya_Turkish_Mediterranean_Coast.html,,5.0,3.0,3 374 руб - 5 927 руб,3374,5927
Блю Хэвен,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d298892-Reviews-Blue_Heaven_Apart-Alanya_Turkish_Mediterranean_Coast.html,,5.0,,2 462 руб - 2 462 руб,2462,2462
Savir Apart Otel,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d8426796-Reviews-Savir_Apart_Otel-Alanya_Turkish_Mediterranean_Coast.html,,5.0,,1 915 руб - 5 563 руб,1915,5563
Ramira Joy Hotel,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d20329433-Reviews-Ramira_Joy_Hotel-Alanya_Turkish_Mediterranean_Coast.html,3762,5.0,3.0,3 009 руб - 4 195 руб,3009,4195
Numa Port Hotel,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d25336654-Reviews-Numa_Port_Hotel-Alanya_Turkish_Mediterranean_Coast.html,5738,5.0,3.0,4 833 руб - 8 754 руб,4833,8754
Kleopatra Suit Hotel,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d6154261-Reviews-Kleopatra_Suit_Hotel-Alanya_Turkish_Mediterranean_Coast.html,5015,5.0,3.0,4 012 руб - 4 924 руб,4012,4924
Отель Вилла Турка,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d2197457-Reviews-Hotel_Villa_Turka-Alanya_Turkish_Mediterranean_Coast.html,5818,5.0,3.0,4 924 руб - 6 839 руб,4924,6839
Aria Riva Apart Hotel,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d23702747-Reviews-Aria_Riva_Apart_Hotel-Alanya_Turkish_Mediterranean_Coast.html,6049,5.0,,4 286 руб - 6 657 руб,4286,6657
Мукарнас Спа-курорт,Аланья,https://www.tripadvisor.ru/Hotel_Review-g950910-d951547-Reviews-Mukarnas_Resort_And_Spa_Hotel-Okurcalar_Alanya_Turkish_Mediterranean_Coast.html,,4.5,5.0,8 207 руб - 25 169 руб,8207,25169
Avena Resort & Spa,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d6434598-Reviews-Avena_Resort_Spa-Alanya_Turkish_Mediterranean_Coast.html,5718,4.5,4.0,3 921 руб - 7 478 руб,3921,7478
Sunprime C-Lounge Hotel,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d7593722-Reviews-Sunprime_C_Lounge_Hotel-Alanya_Turkish_Mediterranean_Coast.html,,4.5,5.0,6 657 руб - 11 946 руб,6657,11946
The Lumos Deluxe Resort Hotel & Spa,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d9793384-Reviews-The_Lumos_Deluxe_Resort_Hotel_Spa-Alanya_Turkish_Mediterranean_Coast.html,,4.5,5.0,7 569 руб - 17 144 руб,7569,17144
Сунпарк Марин Отель,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d1184554-Reviews-Cook_s_Club_Alanya-Alanya_Turkish_Mediterranean_Coast.html,10015,4.5,4.0,6 201 руб - 11 308 руб,6201,11308
White City Resort Hotel,Аланья,https://www.tripadvisor.ru/Hotel_Review-g1069655-d5050059-Reviews-White_City_Resort_Hotel-Turkler_Alanya_Turkish_Mediterranean_Coast.html,,4.5,5.0,10 031 руб - 24 530 руб,10031,24530
Сиде Цровн Серениты,Аланья,https://www.tripadvisor.ru/Hotel_Review-g950910-d4717641-Reviews-Justiniano_Deluxe_Resort-Okurcalar_Alanya_Turkish_Mediterranean_Coast.html,,4.5,5.0,5 654 руб - 10 031 руб,5654,10031
Litore Resort Hotel & Spa,Аланья,https://www.tripadvisor.ru/Hotel_Review-g950910-d7909806-Reviews-Litore_Resort_Hotel_Spa-Okurcalar_Alanya_Turkish_Mediterranean_Coast.html,,4.5,,9 575 руб - 86 175 руб,9575,86175
Пегасос Клуб,Аланья,https://www.tripadvisor.ru/Hotel_Review-g609052-d1160937-Reviews-Pegasos_Club_Hotel-Avsallar_Alanya_Turkish_Mediterranean_Coast.html,,4.5,,11 399 руб - 25 078 руб,11399,25078
Маритим Отель Клуб Алантур,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d1063280-Reviews-Labranda_Alantur-Alanya_Turkish_Mediterranean_Coast.html,,4.5,5.0,6 292 руб - 18 694 руб,6292,18694
Ramira City Hotel,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d13797952-Reviews-Ramira_City_Hotel-Alanya_Turkish_Mediterranean_Coast.html,,4.5,4.0,3 100 руб - 6 931 руб,3100,6931
Бера Отель Аланья,Аланья,https://www.tripadvisor.ru/Hotel_Review-g951014-d1989064-Reviews-Bera_Hotel_Alanya-Konakli_Alanya_Turkish_Mediterranean_Coast.html,,4.5,5.0,17 417 руб - 30 640 руб,17417,30640
Утопия Уорлд Отель,Аланья,https://www.tripadvisor.ru/Hotel_Review-g1192197-d677125-Reviews-Utopia_World_Hotel-Kargicak_Alanya_Turkish_Mediterranean_Coast.html,,4.5,5.0,8 572 руб - 27 357 руб,8572,27357
Тиволи Резорт Отель,Аланья,https://www.tripadvisor.ru/Hotel_Review-g951014-d1144484-Reviews-Noxinn_Deluxe_Hotel-Konakli_Alanya_Turkish_Mediterranean_Coast.html,,4.5,3.0,7 751 руб - 20 974 руб,7751,20974
Elite Luxury Suite & Spa,Аланья,https://www.tripadvisor.ru/Hotel_Review-g951014-d17454562-Reviews-Elite_Luxury_Suite_Spa-Konakli_Alanya_Turkish_Mediterranean_Coast.html,,4.5,5.0,7 022 руб - 10 396 руб,7022,10396
White City Beach Hotel - Adult Only (16+),Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d508003-Reviews-White_City_Beach_Adults_Only-Alanya_Turkish_Mediterranean_Coast.html,,4.5,4.0,8 846 руб - 18 056 руб,8846,18056
Oz Hotels Sui,Аланья,https://www.tripadvisor.ru/Hotel_Review-g950910-d9761552-Reviews-Oz_Hotels_Sui-Okurcalar_Alanya_Turkish_Mediterranean_Coast.html,,4.5,5.0,1 915 руб - 20 244 руб,1915,20244
Mylome Luxury Hotel & Resort,Аланья,https://www.tripadvisor.ru/Hotel_Review-g950910-d21213510-Reviews-Mylome_Luxury_Hotel_Resort-Okurcalar_Alanya_Turkish_Mediterranean_Coast.html,,4.5,5.0,11 672 руб - 57 450 руб,11672,57450
Numa Bay Exclusive Hotel,Аланья,https://www.tripadvisor.ru/Hotel_Review-g1069655-d11874188-Reviews-Numa_Bay_Exclusive_Hotel-Turkler_Alanya_Turkish_Mediterranean_Coast.html,,4.5,5.0,8 116 руб - 27 540 руб,8116,27540
Панорама Отель,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d508101-Reviews-Panorama_Hotel-Alanya_Turkish_Mediterranean_Coast.html,,4.5,4.0,3 100 руб - 16 962 руб,3100,16962
Вилла Соната,Аланья,https://www.tripadvisor.ru/Hotel_Review-g297961-d3153599-Reviews-Villa_Sonata-Alanya_Turkish_Mediterranean_Coast.html,2174,4.5,3.5,1 641 руб - 3 465 руб,1641,3465
Utopia Resort & Residence,Аланья,https://www.tripadvisor.ru/Hotel_Review-g609052-d19919957-Reviews-Utopia_Resort_Residence-Avsallar_Alanya_Turkish_Mediterranean_Coast.html,,4.5,5.0,10 669 руб - 27 813 руб,10669,27813
Клуб Отель Сидера,Аланья,https://www.tripadvisor.ru/Hotel_Review-g950910-d599220-Reviews-Kirman_Sidera_Luxury_Spa-Okurcalar_Alanya_Turkish_Mediterranean_Coast.html,,4.5,5.0,12 128 руб - 33 285 руб,12128,33285
Qazaq Auyl Eco Hotel,Алма-Ата,https://www.tripadvisor.ru/Hotel_Review-g298251-d25332679-Reviews-Qazaq_Auyl_Eco_Hotel-Almaty.html,33171,5.0,,27 084 руб - 32 190 руб,27084,32190
Interhouse Almaty,Алма-Ата,https://www.tripadvisor.ru/Hotel_Review-g298251-d12105246-Reviews-Interhouse_Almaty-Almaty.html,,5.0,,2 371 руб - 2 827 руб,2371,2827
Opera Apartments,Алма-Ата,https://www.tripadvisor.ru/Hotel_Review-g298251-d15191234-Reviews-Opera_Apartments-Almaty.html,12900,5.0,,8 481 руб - 11 672 руб,8481,11672
